Course.id,Email_address,First_name,Last_name,Marks,grades
DATA300,student1@example.com,Student1,Last1,61,B
DATA300,student2@example.com,Student2,Last2,79,C
DATA400,student3@example.com,Student3,Last3,72,A
DATA200,student4@example.com,Student4,Last4,86,D
DATA300,student5@example.com,Student5,Last5,95,B
DATA200,student6@example.com,Student6,Last6,96,D
DATA200,student7@example.com,Student7,Last7,75,A
DATA200,student8@example.com,Student8,Last8,73,B
DATA400,student9@example.com,Student9,Last9,73,D
DATA300,student10@example.com,Student10,Last10,54,F
DATA300,student11@example.com,Student11,Last11,96,C
DATA200,student12@example.com,Student12,Last12,97,F
DATA300,student13@example.com,Student13,Last13,85,A
DATA300,student14@example.com,Student14,Last14,94,F
DATA400,student15@example.com,Student15,Last15,67,A
DATA200,student16@example.com,Student16,Last16,95,C
DATA200,student17@example.com,Student17,Last17,54,B
DATA300,student18@example.com,Student18,Last18,97,D
DATA200,student19@example.com,Student19,Last19,76,A
DATA400,student20@example.com,Student20,Last20,80,A
DATA300,student21@example.com,Student21,Last21,68,B
DATA200,student22@example.com,Student22,Last22,51,F
DATA300,student23@example.com,Student23,Last23,84,C
DATA400,student24@example.com,Student24,Last24,57,A
DATA400,student25@example.com,Student25,Last25,56,A
DATA400,student26@example.com,Student26,Last26,94,D
DATA200,student27@example.com,Student27,Last27,52,B
DATA200,student28@example.com,Student28,Last28,80,B
DATA200,student29@example.com,Student29,Last29,51,C
DATA200,student30@example.com,Student30,Last30,85,B
DATA300,student31@example.com,Student31,Last31,93,A
DATA300,student32@example.com,Student32,Last32,78,A
DATA400,student33@example.com,Student33,Last33,77,B
DATA400,student34@example.com,Student34,Last34,93,F
DATA300,student35@example.com,Student35,Last35,76,C
DATA300,student36@example.com,Student36,Last36,88,B
DATA200,student37@example.com,Student37,Last37,91,B
DATA200,student38@example.com,Student38,Last38,56,D
DATA300,student39@example.com,Student39,Last39,92,F
DATA300,student40@example.com,Student40,Last40,79,A
DATA200,student41@example.com,Student41,Last41,79,B
DATA300,student42@example.com,Student42,Last42,54,C
DATA400,student43@example.com,Student43,Last43,71,C
DATA200,student44@example.com,Student44,Last44,91,F
DATA200,student45@example.com,Student45,Last45,66,F
DATA200,student46@example.com,Student46,Last46,60,B
DATA300,student47@example.com,Student47,Last47,84,A
DATA300,student48@example.com,Student48,Last48,65,F
DATA200,student49@example.com,Student49,Last49,85,A
DATA400,student50@example.com,Student50,Last50,55,B
DATA200,student51@example.com,Student51,Last51,88,F
DATA400,student52@example.com,Student52,Last52,59,A
DATA200,student53@example.com,Student53,Last53,75,C
DATA400,student54@example.com,Student54,Last54,97,C
DATA200,student55@example.com,Student55,Last55,52,D
DATA300,student56@example.com,Student56,Last56,70,D
DATA300,student57@example.com,Student57,Last57,91,C
DATA300,student58@example.com,Student58,Last58,83,A
DATA400,student59@example.com,Student59,Last59,70,B
DATA200,student60@example.com,Student60,Last60,87,A
DATA400,student61@example.com,Student61,Last61,53,C
DATA400,student62@example.com,Student62,Last62,58,A
DATA300,student63@example.com,Student63,Last63,88,B
DATA400,student64@example.com,Student64,Last64,85,F
DATA400,student65@example.com,Student65,Last65,86,F
DATA400,student66@example.com,Student66,Last66,55,C
DATA400,student67@example.com,Student67,Last67,77,A
DATA200,student68@example.com,Student68,Last68,67,F
DATA300,student69@example.com,Student69,Last69,57,C
DATA200,student70@example.com,Student70,Last70,53,D
DATA400,student71@example.com,Student71,Last71,65,C
DATA300,student72@example.com,Student72,Last72,73,B
DATA300,student73@example.com,Student73,Last73,52,D
DATA400,student74@example.com,Student74,Last74,55,D
DATA400,student75@example.com,Student75,Last75,56,D
DATA200,student76@example.com,Student76,Last76,77,D
DATA300,student77@example.com,Student77,Last77,57,F
DATA200,student78@example.com,Student78,Last78,89,F
DATA300,student79@example.com,Student79,Last79,79,F
DATA300,student80@example.com,Student80,Last80,64,C
DATA400,student81@example.com,Student81,Last81,77,C
DATA300,student82@example.com,Student82,Last82,100,F
DATA300,student83@example.com,Student83,Last83,63,C
DATA400,student84@example.com,Student84,Last84,98,A
DATA200,student85@example.com,Student85,Last85,96,B
DATA300,student86@example.com,Student86,Last86,83,B
DATA400,student87@example.com,Student87,Last87,59,A
DATA300,student88@example.com,Student88,Last88,61,B
DATA300,student89@example.com,Student89,Last89,87,F
DATA200,student90@example.com,Student90,Last90,88,B
DATA200,student91@example.com,Student91,Last91,88,F
DATA400,student92@example.com,Student92,Last92,89,A
DATA400,student93@example.com,Student93,Last93,97,F
DATA400,student94@example.com,Student94,Last94,73,B
DATA400,student95@example.com,Student95,Last95,72,F
DATA300,student96@example.com,Student96,Last96,61,A
DATA400,student97@example.com,Student97,Last97,61,C
DATA300,student98@example.com,Student98,Last98,69,B
DATA300,student99@example.com,Student99,Last99,80,F
DATA200,student100@example.com,Student100,Last100,85,B
DATA300,student101@example.com,Student101,Last101,60,F
DATA300,student102@example.com,Student102,Last102,58,A
DATA200,student103@example.com,Student103,Last103,69,D
DATA400,student104@example.com,Student104,Last104,57,B
DATA300,student105@example.com,Student105,Last105,57,A
